Date,Open,High,Low,Close,Adj Close,Volume,Quarter
9/17/2019,37.200001,38.419998,36.849998,38.290001,38.290001,11349200,Q4
9/18/2019,38.150002,38.349998,37.919998,38.18,38.18,5949800,Q4
9/19/2019,38.25,38.349998,37.740002,37.779999,37.779999,4924600,Q4
9/20/2019,38.060001,38.07,37.290001,37.369999,37.369999,18762200,Q4
9/23/2019,36.790001,37.43,36.57,37.240002,37.240002,7044100,Q4
9/24/2019,37.34,37.490002,36.549999,36.77,36.77,6965500,Q4
9/25/2019,36.759998,37.25,36.439999,37.110001,37.110001,8414900,Q4
9/26/2019,37.360001,37.889999,37.169998,37.610001,37.610001,8301200,Q4
9/27/2019,37.84,37.970001,36.970001,37.419998,37.419998,6879500,Q4
9/30/2019,37.529999,37.580002,37.009998,37.48,37.48,7477000,Q4
10/1/2019,37.470001,37.48,36.029999,36.110001,36.110001,9991600,Q4
10/2/2019,35.77,35.77,34.41,34.68,34.68,12940100,Q4
10/3/2019,34.509998,34.990002,34.16,34.98,34.98,12044600,Q4
10/4/2019,35,35.189999,34.580002,34.91,34.91,7037700,Q4
10/7/2019,34.599998,35.110001,34.299999,34.75,34.75,6640500,Q4
10/8/2019,34.310001,34.470001,33.709999,33.880001,33.880001,10686900,Q4
10/9/2019,33.98,34.34,33.790001,34.139999,34.139999,6329300,Q4
10/10/2019,34.450001,35.299999,34.209999,34.66,34.66,10914900,Q4
10/11/2019,35.220001,36,35.209999,35.57,35.57,12177900,Q4
10/14/2019,35.389999,35.560001,35.27,35.5,35.5,5630700,Q4
10/15/2019,35.470001,36.560001,35.169998,36.259998,36.259998,10249400,Q4
10/16/2019,36.490002,37.220001,36.450001,36.650002,36.650002,13294400,Q4
10/17/2019,36.810001,36.82,35.869999,36.189999,36.189999,8122200,Q4
10/18/2019,36.09,36.369999,36.009998,36.169998,36.169998,6858800,Q4
10/21/2019,36.439999,36.720001,35.630001,35.93,35.93,7039300,Q4
10/22/2019,35.77,36.580002,35.560001,36.310001,36.310001,6730400,Q4
10/23/2019,36.25,36.639999,35.830002,36.610001,36.610001,6413900,Q4
10/24/2019,36.619999,36.77,35.740002,35.82,35.82,6718800,Q4
10/25/2019,35.779999,36.82,35.759998,36.740002,36.740002,8729400,Q4
